rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Contingency.Cause.Result	as a result	Мы ещё можем видеть маленькую луну , но давайте отдалимся опять десятикратно	Вот мы на краю Солнечной системы , на поясе Койпера
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Вот мы на краю Солнечной системы , на поясе Койпера	Теперь она совсем нечёткая
Explicit	Expansion.Conjunction	Но	Это та светло-голубая точка Карла Сагана	давайте опять также отдалимся
Implicit	Contingency.Cause.Result	as a result	Но давайте опять также отдалимся	Теперь мы на Облаке Оорта , вне солнечной системы , и мы начинаем видеть Солнце , появляющееся в поле зрения и приближающееся к планете
Explicit	Expansion.Conjunction	и	Теперь мы на Облаке Оорта , вне солнечной системы	мы начинаем видеть Солнце , появляющееся в поле зрения и приближающееся к планете
Implicit	Expansion.Conjunction	and	Теперь мы на Облаке Оорта , вне солнечной системы , и мы начинаем видеть Солнце , появляющееся в поле зрения и приближающееся к планете	Снова отдалимся в десять раз
Implicit	Contingency.Cause.Result	as a result	Снова отдалимся в десять раз	Вот мы в системе Альфа Центавра , на ближайшей звезде , и планета пропала
Explicit	Expansion.Conjunction	и	Вот мы в системе Альфа Центавра , на ближайшей звезде	планета пропала
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Вот мы в системе Альфа Центавра , на ближайшей звезде , и планета пропала	Всё , что мы видим — большое лучезарное изображение звезды которое в 10 млн. раз ярче , чем планета , которая должна быть в красном круге
Explicit	Contingency.Cause.Result	поэтому	"Всё , что мы видим — большое лучезарное изображение звезды которое в 10 млн. раз ярче , чем планета , которая должна быть в красном круге .
Вот это мы хотим видеть"	это тяжело
Implicit	Temporal.Asynchronous.Precedence	then	Свет от звезды преломляется	Он рассеивается внутри телескопа , создавая очень яркое изображение , которое затмевает планету
Explicit	Contingency.Purpose.Arg2-as-goal	Чтобы	увидеть планету	мы должны сделать что-то с этим светом
Implicit	Contingency.Cause.Result	so	Он рассеивается внутри телескопа , создавая очень яркое изображение , которое затмевает планету	Чтобы увидеть планету , мы должны сделать что-то с этим светом
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Чтобы увидеть планету , мы должны сделать что-то с этим светом	Избавится от него
Implicit	Contingency.Cause.Result	that's why	Избавится от него	Многие мои коллеги работают над удивительными технологиями для этого , но я расскажу вам сегодня про одну , которую я считаю самой классной , и вероятно , она « даст нам Землю » в следующем десятилетии
Explicit	Comparison.Concession.Arg2-as-denier	но	Многие мои коллеги работают над удивительными технологиями для этого	я расскажу вам сегодня про одну , которую я считаю самой классной , и вероятно , она « даст нам Землю » в следующем десятилетии
Explicit	Expansion.Conjunction	и	я расскажу вам сегодня про одну	она « даст нам Землю » в следующем десятилетии
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Многие мои коллеги работают над удивительными технологиями для этого , но я расскажу вам сегодня про одну , которую я считаю самой классной , и вероятно , она « даст нам Землю » в следующем десятилетии	Первым это предложил Лиман Спитцер , отец космического телескопа , в 1962 , он был вдохновлён затмением
Implicit	Expansion.Equivalence	in other words	"Вы все видели его .
Затмение Солнца"	Луна встала перед солнцем
Explicit	Expansion.Conjunction	И	Луна встала перед солнцем	заблокировала большинство света , поэтому видим тусклую корону вокруг
Explicit	Contingency.Cause.Result	поэтому	И заблокировала большинство света	видим тусклую корону вокруг
Explicit	Contingency.Condition.Arg2-as-cond	если	я могу увидеть вас на последнем ряду	я наведу палец и заблокирую тот прожектор
AltLex	Expansion.Equivalence	То же самое	И заблокировала большинство света , поэтому видим тусклую корону вокруг	если я наведу палец и заблокирую тот прожектор , который светит мне в глаз , я могу увидеть вас на последнем ряду
Explicit	Hypophora	Что	ж происходит	"Луна бросает тень вниз на Землю .
Мы используем телескоп или камеру в тени , мы оглядываемся на Солнце , и большая часть света устранена , мы можем увидеть тусклую , тонкую структуру в солнечной короне"
Implicit	Contingency.Cause.Result	so	То же самое , если я наведу палец и заблокирую тот прожектор , который светит мне в глаз , я могу увидеть вас на последнем ряду	Что ж происходит
Implicit	Expansion.Conjunction	and	Луна бросает тень вниз на Землю	Мы используем телескоп или камеру в тени , мы оглядываемся на Солнце , и большая часть света устранена , мы можем увидеть тусклую , тонкую структуру в солнечной короне
Explicit	Expansion.Conjunction	и	мы оглядываемся на Солнце	большая часть света устранена
Implicit	Expansion.Level-of-detail.Arg2-as-detail	speicifically	Спитцер предложил сделать это в космосе	Создать большую ширму , отправить её в космос , разместить перед звездой , заблокировать большую часть света , разместить телескоп в созданной тени , и бах , можно видеть планеты
Explicit	Expansion.Conjunction	и	Создать большую ширму , отправить её в космос , разместить перед звездой , заблокировать большую часть света , разместить телескоп в созданной тени	бах , можно видеть планеты
AltLex	Contingency.Cause.Result	бах	Создать большую ширму , отправить её в космос , разместить перед звездой , заблокировать большую часть света , разместить телескоп в созданной тени	можно видеть планеты
Explicit	Expansion.Level-of-detail.Arg2-as-detail	Итак	Это выглядело бы примерно так	это та большая ширма , и тут нет планет , поскольку , на самом деле , это работает не так хорошо , потому что световые волны преломляются вокруг ширмы так же , как и в телескопе
Explicit	Expansion.Conjunction	и	это та большая ширма	тут нет планет , поскольку , на самом деле , это работает не так хорошо , потому что световые волны преломляются вокруг ширмы так же , как и в телескопе
Explicit	Contingency.Cause.Reason	поскольку	тут нет планет	это работает не так хорошо , потому что световые волны преломляются вокруг ширмы так же , как и в телескопе
Explicit	Contingency.Cause.Reason	потому что	это работает не так хорошо	световые волны преломляются вокруг ширмы так же , как и в телескопе
Explicit	Expansion.Conjunction	и	Это похоже на воду	весь этот свет разрушает тень
Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	so	Это похоже на воду , изгибающуюся вокруг камня в потоке , и весь этот свет разрушает тень	Это ужасная тень
Explicit	Expansion.Conjunction	И	Это ужасная тень	мы не можем увидеть планеты
Explicit	Comparison.Concession.Arg2-as-denier	Но	И мы не можем увидеть планеты	Спитцер , на самом деле , знал ответ
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Но Спитцер , на самом деле , знал ответ	Если мы можем затуплять углы , смягчать их — можем контролировать преломление , то мы можем увидеть планету , и за последние 10 лет мы нашли оптимальные решения
Explicit	Contingency.Condition.Arg2-as-cond	Если	теперь мы имеем отличную тень	мы сделаем углы этих лепестков в точности правильными , и проконтролируем их форму — сможем регулировать преломление
Implicit	Expansion.Conjunction	and	Мы называем эту цветочную форму звёздный абажур	Если мы сделаем углы этих лепестков в точности правильными , и проконтролируем их форму — сможем регулировать преломление , теперь мы имеем отличную тень
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Если мы сделаем углы этих лепестков в точности правильными , и проконтролируем их форму — сможем регулировать преломление , теперь мы имеем отличную тень	Она в 10 миллиардов раз более тусклая , чем была до этого , и мы можем увидеть без проблем свечение планет
Explicit	Expansion.Conjunction	и	Она в 10 миллиардов раз более тусклая , чем была до этого	мы можем увидеть без проблем свечение планет
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Оно , конечно , должно быть больше , чем мой большой палец	Этот звёздный абажур практически как половина футбольного поля и он должен находиться в 50 000 км от телескопа , который должен находиться в этой тени , и тогда мы сможем увидеть эти планеты
Explicit	Expansion.Conjunction	и	Этот звёздный абажур практически как половина футбольного поля	он должен находиться в 50 000 км от телескопа
Explicit	Expansion.Conjunction	и	Этот звёздный абажур практически как половина футбольного поля и он должен находиться в 50 000 км от телескопа , который должен находиться в этой тени	тогда мы сможем увидеть эти планеты
Explicit	Contingency.Cause.Result	тогда	Этот звёздный абажур практически как половина футбольного поля и он должен находиться в 50 000 км от телескопа , который должен находиться в этой тени	мы сможем увидеть эти планеты
Implicit	Expansion.Conjunction	and	Этот звёздный абажур практически как половина футбольного поля и он должен находиться в 50 000 км от телескопа , который должен находиться в этой тени , и тогда мы сможем увидеть эти планеты	Это звучит труднопреодолимо , но прекрасные инженеры , мои коллеги с ЛРД , придумали потрясающий дизайн для того , чтобы сделать это , и он выглядит так
Explicit	Comparison.Concession.Arg2-as-denier	но	Это звучит труднопреодолимо	прекрасные инженеры , мои коллеги с ЛРД , придумали потрясающий дизайн для того , чтобы сделать это , и он выглядит так
Explicit	Contingency.Purpose.Arg2-as-goal	для того , чтобы	прекрасные инженеры , мои коллеги с ЛРД , придумали потрясающий дизайн	сделать это
Explicit	Expansion.Conjunction	и	прекрасные инженеры , мои коллеги с ЛРД , придумали потрясающий дизайн для того , чтобы сделать это	он выглядит так
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Это звучит труднопреодолимо , но прекрасные инженеры , мои коллеги с ЛРД , придумали потрясающий дизайн для того , чтобы сделать это , и он выглядит так	Лепестки обкручены вокруг центра
Explicit	Temporal.Asynchronous.Precedence	Потом	Лепестки обкручены вокруг центра	происходит отделение от телескопа
Implicit	Temporal.Asynchronous.Precedence	then	Потом происходит отделение от телескопа	Лепестки раскручиваются , они открываются , телескоп поворачивается
Explicit	Temporal.Asynchronous.Precedence	Потом	Лепестки раскручиваются , они открываются , телескоп поворачивается	вы видите полёт абажура на расстояние 50 000 км от телескопа
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Потом вы видите полёт абажура на расстояние 50 000 км от телескопа	Он пролетает перед звездой вот таким образом и создаёт замечательную тень
Explicit	Expansion.Conjunction	и	Он пролетает перед звездой вот таким образом	создаёт замечательную тень
Implicit	Temporal.Asynchronous.Precedence	then	Он пролетает перед звездой вот таким образом и создаёт замечательную тень	Бах , мы видим планеты , вращающиеся вокруг неё
Implicit	Expansion.Conjunction	and	Бах , мы видим планеты , вращающиеся вокруг неё	Это не научная фантастика
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Это не научная фантастика	Мы работали над этим последние 5-6 лет
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Мы работали над этим последние 5-6 лет	Прошлым летом , мы провели классный тест в Калифорнии в компании Northrop Grumman
Implicit	Expansion.Conjunction	and	Это 4 лепестка	Ниже уменьшенная копия абажура
Implicit	Expansion.Conjunction	and	"Это 4 лепестка .
Ниже уменьшенная копия абажура .
Она вдвое меньше той , которую вы только что видели"	Вот лепестки раскрываются
Implicit	Expansion.Conjunction	and	Эти лепестки должны вращаться на месте	Основа этих лепестков должна возвращаться на то же место каждый раз с точностью до десятой доли миллиметра
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Основа этих лепестков должна возвращаться на то же место каждый раз с точностью до десятой доли миллиметра	Мы проводили этот тест 16 раз , и 16 раз они вставали на место с точностью до десятой доли миллиметра
Explicit	Expansion.Conjunction	и	Мы проводили этот тест 16 раз	16 раз они вставали на место с точностью до десятой доли миллиметра
Explicit	Comparison.Concession.Arg2-as-denier	но	Это должно быть сделано очень точно	если мы сможем делать это , создать эту технологию , сможем разместить это в космосе , вы сможете увидеть что-то такое
Explicit	Contingency.Condition.Arg2-as-cond	если	вы сможете увидеть что-то такое	мы сможем делать это , создать эту технологию , сможем разместить это в космосе
Implicit	Expansion.Conjunction	and	Это фото одной из ближайших звёзд , сделанное космическим телескопом Хаббл	Если мы сможем взять похожий космический телескоп , немного больше размером , разместить его там , раскрыть ширму перед ним , то мы должны увидеть что-то такое — это семейный портрет нашей солнечной системы — но не нашей
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Если мы сможем взять похожий космический телескоп , немного больше размером , разместить его там , раскрыть ширму перед ним , то мы должны увидеть что-то такое — это семейный портрет нашей солнечной системы — но не нашей	это будет какая-то другая солнечная система , видимая благодаря затемнению , через звёздный абажур
Implicit	Expansion.Conjunction	and	это будет какая-то другая солнечная система , видимая благодаря затемнению , через звёздный абажур	Вы можете увидеть Юпитер , Сатурн , Уран , Нептун и прямо там в центре , рядом с остаточным светом находится та светло-голубая точка
Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	that is why	Мы хотим увидеть её , и есть ли там вода , кислород , озон , то , что может подсказать нам возможность жизни	это самая классная наука
Implicit	Expansion.Conjunction	and	это самая классная наука	Я начал этим заниматься , потому что я считаю , что это изменит мир
Explicit	Contingency.Cause.Reason	потому что	Я начал этим заниматься	я считаю , что это изменит мир
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Я начал этим заниматься , потому что я считаю , что это изменит мир	Это изменит всё , когда мы это увидим
Explicit	Temporal.Synchronous	когда	Это изменит всё	мы это увидим
