rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Contingency.Purpose.Arg2-as-goal	in order	working on really amazing technologies	to do that
Explicit	Comparison.Concession.Arg2-as-denier	but	I have a lot of colleagues working on really amazing technologies to do that	I want to tell you about one today that I think is the coolest, and probably the most likely to get us an Earth in the next decade
Explicit	Expansion.Conjunction	and	that I think is the coolest	probably the most likely to get us an Earth in the next decade
Explicit	Expansion.Conjunction	and		he took his inspiration from an eclipse
Implicit	Contingency.Cause.Reason	because	That's a solar eclipse	The moon has moved in front of the sun
Implicit	Expansion.Conjunction	and	The moon has moved in front of the sun	It blocks out most of the light so we can see that dim corona around it
Explicit	Contingency.Cause.Result	so	It blocks out most of the light	we can see that dim corona around it
AltLex	Expansion.Equivalence	It would be the same thing	It blocks out most of the light so we can see that dim corona around it	It would be the same thing if I put my thumb up and blocked that spotlight that's getting right in my eye
AltLex	Hypophora	what's	the moon is casting a shadow down on the Earth. We put a telescope or a camera in that shadow, we look back at the sun, and most of the light's been removed and we can see that dim, fine structure in the corona	what's going on
Implicit	Expansion.Conjunction	and	We put a telescope or a camera in that shadow	we look back at the sun
Explicit	Contingency.Condition.Arg1-as-cond	and	We put a telescope or a camera in that shadow, we look back at the sun	most of the light's been removed
Explicit	Expansion.Conjunction	and	most of the light's been removed	we can see that dim, fine structure in the corona
Implicit	Contingency.Cause.Result	as a result	most of the light's been removed	and we can see that dim, fine structure in the corona
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Spitzer's suggestion was we do this in space	We build a big screen, we fly it in space, we put it up in front of the star, we block out most of the light, we fly a space telescope in that shadow that's created, and boom, we get to see planets
Implicit	Temporal.Asynchronous.Precedence	then	We build a big screen	we fly it in space
Implicit	Temporal.Asynchronous.Precedence	then	we fly it in space	we put it up in front of the star
Implicit	Temporal.Asynchronous.Precedence	then	we put it up in front of the star	we block out most of the light
Implicit	Temporal.Asynchronous.Precedence	then	we block out most of the light	we fly a space telescope in that shadow that's created
AltLex	Contingency.Cause.Result	boom	We build a big screen, we fly it in space, we put it up in front of the star, we block out most of the light, we fly a space telescope in that shadow that's created	
Implicit	Expansion.Conjunction	and	We build a big screen, we fly it in space, we put it up in front of the star, we block out most of the light, we fly a space telescope in that shadow that's created, and boom, we get to see planets	that would look something like this
Explicit	Expansion.Conjunction	and	there's that big screen	there's no planets
Explicit	Contingency.Cause.Reason	because	there's no planets	unfortunately it doesn't actually work very well
Explicit	Contingency.Cause.Reason	because	unfortunately it doesn't actually work very well	the light waves of the light and waves diffracts around that screen the same way it did in the telescope
AltLex	Comparison.Similarity	the same way	the light waves of the light and waves diffracts around that screen	it did in the telescope
AltLex	Comparison.Similarity	It's like	the light waves of the light and waves diffracts around that screen the same way it did in the telescope	water bending around a rock in a stream
Explicit	Expansion.Conjunction	and	It's like water bending around a rock in a stream	all that light just destroys the shadow
Explicit	Expansion.Conjunction	And	It's a terrible shadow	we can't see planets
Implicit	Contingency.Cause.Result	as a result	It's a terrible shadow	And we can't see planets
Explicit	Comparison.Concession.Arg2-as-denier	But	we can't see planets	Spitzer actually knew the answer
Explicit	Contingency.Condition.Arg2-as-cond	If	then we can see a planet	we can feather the edges, soften those edges so we can control diffraction
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	If we can feather the edges	soften those edges
Explicit	Contingency.Cause.Result	so	soften those edges	we can control diffraction
Explicit	Expansion.Conjunction	and	If we can feather the edges, soften those edges so we can control diffraction, well then we can see a planet	in the last 10 years or so we've come up with optimal solutions for doing that
Implicit	Expansion.Conjunction	and	in the last 10 years or so we've come up with optimal solutions for doing that	It looks something like that
Implicit	Expansion.Conjunction	and	If we make the edges of those petals exactly right	if we control their shape
Explicit	Expansion.Conjunction	and	If we make the edges of those petals exactly right, if we control their shape, we can control diffraction	now we have a great shadow
Implicit	Contingency.Cause.Result	consequently	If we make the edges of those petals exactly right, if we control their shape, we can control diffraction	and now we have a great shadow
Explicit	Expansion.Conjunction	and	It's about 10 billion times dimmer than it was before	we can see the planets beam out just like that
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	That, of course, has to be bigger than my thumb	That starshade is about the size of half a football field
Explicit	Expansion.Conjunction	and	That starshade is about the size of half a football field	it has to fly 50,000 kilometers away from the telescope that has to be held right in its shadow
Explicit	Expansion.Conjunction	and	it has to fly 50,000 kilometers away from the telescope that has to be held right in its shadow	then we can see those planets
Explicit	Temporal.Asynchronous.Precedence	then	it has to fly 50,000 kilometers away from the telescope that has to be held right in its shadow	
Explicit	Comparison.Concession.Arg2-as-denier	but	This sounds formidable	brilliant engineers, colleagues of mine at JPL, came up with a fabulous design for how to do that and it looks like this
Explicit	Expansion.Conjunction	and	brilliant engineers, colleagues of mine at JPL, came up with a fabulous design for how to do that	it looks like this
Implicit	Temporal.Asynchronous.Precedence	then	It starts wrapped around a hub	It separates from the telescope
Implicit	Temporal.Asynchronous.Precedence	then	It separates from the telescope	The petals unfurl
Implicit	Expansion.Equivalence	in other words	The petals unfurl	they open up
Implicit	Temporal.Asynchronous.Precedence	then	they open up	the telescope turns around
Explicit	Temporal.Asynchronous.Precedence	Then	the telescope turns around	you'll see it flip and fly out that 50,000 kilometers away from the telescope
Explicit	Expansion.Conjunction	and	flip	fly
Implicit	Temporal.Asynchronous.Precedence	next	you'll see it flip and fly out that 50,000 kilometers away from the telescope	It's going to move in front of the star just like that, creates a wonderful shadow
AltLex	Contingency.Cause.Result	Boom	It's going to move in front of the star just like that, creates a wonderful shadow	we get planets orbiting about it
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	We've been working on this for the last five or six years	Last summer, we did a really cool test out in California at Northrop Grumman
AltLex	Temporal.Asynchronous.Precedence	Now	You'll see the petals unfurl	you're seeing it deploy
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Those petals have to rotate into place	The base of those petals has to go to the same place every time to within a tenth of a millimeter
Explicit	Expansion.Conjunction	and	We ran this test 16 times	16 times it went into the exact same place to a tenth of a millimeter
Explicit	Comparison.Concession.Arg2-as-denier	but	This has to be done very precisely	if we can do this, if we can build this technology, if we can get it into space, you might see something like this
Implicit	Expansion.Conjunction	and	if we can do this	if we can build this technology
Implicit	Expansion.Conjunction	and	if we can build this technology	if we can get it into space
Explicit	Contingency.Condition.Arg2-as-cond	If	what we might see is something like that -- that's a family portrait of our solar system -- but not ours	we can take a similar space telescope, slightly larger, put it out there, fly an occulter in front of it
Explicit	Comparison.Concession.Arg2-as-denier	but	that's a family portrait of our solar system	not ours
Implicit	Contingency.Cause.Reason	because	not ours	We're hoping it'll be someone else's solar system as seen through an occulter, through a starshade like that
Implicit	Expansion.Conjunction	and	You can see Jupiter	you can see Saturn, Uranus, Neptune
Explicit	Expansion.Conjunction	and	you can see Saturn, Uranus, Neptune	right there in the center, next to the residual light is that pale blue dot
Implicit	Expansion.Conjunction	and	I think this is the coolest possible science	That's why I got into doing this, because I think that will change the world
Explicit	Contingency.Cause.Reason	because	That's why I got into doing this	I think that will change the world
